,Text,Sentiment,label_val,panjang_text
0,warung dimiliki pengusaha pabrik puluhan terkenal putih bandung berkualitas dipadu keahlian memasak dipadu kretivitas warung menyajikan menu utama berbahan ditambah menu ayam selera indonesia harga terjangkau melewati bletoka nya kalah asli tegal,positive,2,404
1,mohon ulama lurus k212 mmbri hujjah partai diwlh suara islam pecah pecah,neutral,1,102
2,lokasi strategis jalan sumatra bandung nya nyaman sofa lantai 2 paella nya enak pas dimakan minum bir dingin appetiser nya enak enak,positive,2,184
3,betapa bahagia nya unboxing paket barang nya bagus menetapkan beli,positive,2,93
4,aduh mahasiswa sombong kasih kartu kuning belajar usahlah politik selesai kuliah nya politik telat dasar mahasiswa,negative,0,214
5,makanan beragam harga makanan food stall 10 kasir suasana ramai perhatian parkir duduk,positive,2,161
6,pakai kartu kredit baca untung rugi,negative,0,52
7,unik bagus foto makanan enak pegawai ramah bersih luas wifi kencang harga standar sesuai nya menu masakan makanan barat indonesia menu favorit lychee mojito spagheti,positive,2,227
8,keluarga menikmati pengalaman kuliner menyenangkan rm sari sunda jalan setiabudhi bandung hubungan rm sari sunda jalan setiabudhi tuliskan maaf rekan rekan pembaca bingung suka restoran pelayanan restoran terbilang cepat,positive,2,391
9,bersyukur,positive,2,9
10,simcard indosat inaktiv gara gara lupa isi pulsa kabar nya aktif pinda pasca bayar ribet banget,negative,0,109
11,sifat iri muncul orang orang tujuan hidup,negative,0,70
12,menceritakan pengalaman pesan steak grilled beef 200 disajikanlah steak 200 2 potongan 100 100 buruk kualitas daging nya enggan memesan menu beef khusus nya sirloin lemak nya ukuran steak menu menu menempel lidah menyarankan membeli menu berlabel cheese lanjutan,positive,2,442
13,pengalaman indosat semoga pelanggan marah marah pelayanan pelanggan indosat,negative,0,141
14,anak sulit dinasehati,negative,0,36
15,mengatasi kayak anies sandi becus pasukan kebersihan nya,negative,0,129
16,badan usaha milik negara dibentuk undang undang dibentuk undang undang,neutral,1,57
17,sehabis puas bermain trans studio bandung teman sepakat makan ayam kakek ayam nya enak gurih,positive,2,139
18,bakso cuanki batagor ramai pengunjung buka jam 10 pagi jalan riau jalan yani sisi kiri jalan jalan anggrek harga porsi rupiah 14 000 datanglah ramai pengunjung,positive,2,258
19,sgwr 2018 dampak positif hobi anak anak,positive,2,53
20,lembang pemandangan indah udara sejuk penataan resto bagus dilengkapi makanan nikmat pilihan menu beragam minuman lengkap lingkungan cocok makan berdua pasangan membawa keluarga teman lapangan parkir luas restoran berkonsep terbuka udara lembang sejuk nya,positive,2,390
21,berbuka puasa minggu lepas supir mencadangkan makan makanan nya sedap harga berpatutan nya luas cantik rekomendasi others dine authentic sunda makanan indonesia,positive,2,249
22,haha suka banget menonton kartun indonesia keluarga tomat,positive,2,61
23,teman teman berkunjung bandung mampir kopi anjis makan makanan berat cilok rakyat ditemankan teh sereh lekker,positive,2,181
24,restoran keluarga makan malam bandung 8 orang nya 400 murah meriah makan double double makanan nya enak suasana kafe menarik pelayanan bagus petunjuk toilet restoran men pergi momen ribut haha setimpal,positive,2,398
25,alhamdulillah jalan bugel kesal melulu sempit arah macet makanan sehari,negative,0,152
26,respon sayang nya rem nya asli rom distrobitor,negative,0,77
27,lokasi pemandangan alam natural indah suasana sejuk tenang nyamuk harga makanan relatif mahal,positive,2,152
28,partai demokrasi indonesia perjuangan ridwan kamil menang berbaju merah,neutral,1,51
29,malu memalukan nih oknum bertanggung,negative,0,54
30,makan siang asyik nuansa bali musik nya musik sunda kadang musik khas bali bergantian nya enak adem sayang pesan kopi banget nya iya iya 1 jam kopi kopi panas kopi adek kah ciri khas kopi khas nya kopi dingin enak,negative,0,376
31,steak bandung zaman setiabudi buka cabang riau riau parkiran sulit setiabudi lokasi kuliner jalan riau porsi harga nya pas ukuran steak zoom non smoking nya nyaman,positive,2,294
32,08 30 kedatangan presiden ri rombongan gate 2 terminal 3 disambut menteri perhubungan menteri badan usaha milik negara gubernur banten direktur jenderal perkeretaapian kemhub direktur utama ap2 direktur utama pt direktur utama railink,neutral,1,213
33,makanan tradisional stabil iga garang asam nya java steak nya lupa dicoba hidangan penutup kue enak lemper soes fla gulung enak enak makanan,positive,2,226
34,batagor terenak kota bandung dibandingkan batagor coba bumbu kacang nya pas lidah batagor nya amis bau nya silakan mencoba coba,positive,2,261
35,aroma khas makan daun pisang ramai favourit bandung,positive,2,122
36,keluarga berjalan daerah lembang sengaja mampir makan resto suasana nya nyaman pelayanan ramah ala puas makanan sajikan standar makanan restoran nya berbeda sambal stroberi enak bikin ketagihan makan memetik lanjutan,positive,2,407
37,risma menjatuhkan pilihan nya gus ipul puti pilihan gubernur jawa timur 2018,neutral,1,77
38,pengalaman seru makan alas piring alas daun nikmat makanan sunda bervariatif enak tips nya terbawa emosi kalap memesan memilih makanan disediakan kalap makanan pilih,positive,2,329
39,makanan nya enak suasana nyaman harga dibilang restoran 4 konsep terkenal menu jepang nya enak,positive,2,163
40,kampung daun makan menyatukan konsep alam budaya daerah kompleks perumahan luas 20 saung makan kapasitas kualitas makanan enak nya suara riak air air terjun suasana nyaman makan,positive,2,398
41,pesan nasi goreng kentang goreng nasi goreng nya suka kentang goreng nya enak banget presentasi nya bagus keluarga bilang kopi nya enak nya luas lihat pemandangan dusun bambu pelayanan nya cepat pesanan harga nya mahal makanan nya enak terbayarkan pikir,positive,2,516
42,makan sunda bertebaran kota bandung jatuh hati warung makan imas alun alun kota bandung menyuguhkan rumah makan sunda karakter warung nasi zaman mengambil hidangan proses order jumpai warung makan,positive,2,407
43,hai tolong bantu input resi jne kenomor resi dipakai,neutral,1,86
44,foods menu cheeseburger nya oke banget chicken sayap pizza ulang juara dirilis mixing green tea yakult perfect satunya kekurangan pizza ulang pinggiran nya,positive,2,198
45,dusun bambu tergolong bandung nya banget almamater gampang cari pemandangan nya bagus makan enak enak beli nya pakai kupon,positive,2,225
46,memuaskan,negative,0,15
47,suruh mengaca pemain nya dasar oneng berbicara ala betawi kampungan,negative,0,85
48,kafe menyajikan sensasi makan gelap unik sih orang jarang menarik mencoba,negative,0,164
49,sesuai nama nya mi awie kedai makan menyediakan menu mi olahan daging babi mi pilihan nasi goreng babi capjay goreng bakso pangsit mencoba menu mi babi casau spesial enak banget,positive,2,271
50,mardani ali sera kemenangan sosial media kemenangan dunia nyata,neutral,1,87
51,kafe sekaramg penginapan boutique hotel travel bareng anak anak suka menginap playground seru swimming pool high rope flying fox menginap tiket gratis petik stroberi pesan suka ramai menginap pilihan kamar enak,positive,2,391
52,selamat pagi kecewa berat indihome internet kocek bayar mahal kecewakan pelanggan,negative,0,136
53,pokok nya afdal lembang bandung mampir 4 humas kampung daun,positive,2,120
54,kentaki fried chicken bandung supermall fasilitas nya lengkap luas jarang ditemukan dikfc keramahtamaan karyawan nya bagus,positive,2,133
55,restoran sapu lidi memilik keunikan tersendiri serasa makan sawah dikelilingin kolam ikan nuansa persawahan menu nya makanan sunda menu favorit jamur bakar enak banget,positive,2,235
56,enak mi abu abu mi black cocol sayap ayam nya mantap makan camilan,positive,2,109
57,negara kesatuan republik indonesia bersyariah front pembela islam revolusi akhlaq suara keadilan __laugh__ tersandung front pembela islam ulama nya tersandung obrolan mesum berani pulang negara kesatuan republik indonesia bersyariah mengamalkan pancasila sungguh miris,negative,0,233
58,bikin macet nih orang,negative,0,26
59,singapura selidiki penjualan prt indonesia situs daring,neutral,1,58
60,pergi merayakan ulang berkesan istri memilih menu makanan variatif makanan barat lokal sedia baju hangat dingin,positive,2,204
61,memilih orang pengecut prabowo memimpin negara,negative,0,123
62,iklan perbaiki jaringan lamban,negative,0,71
63,orang tiongkok masuk indonesia maju andalkan orang pribumi otak nya jongkok,negative,0,99
64,cepat respon pengiriman kilat ramah berputar putar toko bertemu toko juragan pelayanan nya memuaskan tangkap juragan,positive,2,207
65,sok pencitraan basi gaya wibawa seragam coklat top deh anies,negative,0,101
66,teman teman suasana nya menyenangkan pemandangan bagus hawa dingin menyegarkan malam steak nya enak,positive,2,217
67,debut bagus bikin suka tonight saranghajima mengerti merasakan winner abang bigbang nyanyi jiwa nya ikutan nyanyi bagus banget cinta sifat sikap,positive,2,311
68,melelahkan malam,negative,0,29
69,marah,negative,0,5
70,pilih susilo bambang yudhoyono eh pilih prabowo maksude pilih jokowi partai banteng moncong tepung grinningfacewithsmilingeyes,negative,0,199
71,puas servis nya ramah harga nya sebanding pelayanan pemandangan nya keren banget cocok acara berkumpul bareng teman keluarga pokok nya rekomendasi menyesal deh pokok nya dilayani feriyana super ramah pokok nya teman teman 18th recommened,positive,2,371
72,makan abuba steak jakarta berbeda nikmati abuba steak jakarta enak suasana restoran nya oke toilet nya tua diperbaharui,negative,0,230
73,xl jaringan nya jelek banget,negative,0,35
74,puas games mobile legend,positive,2,36
75,rekan kerja sengaja mencoba makan siang sambal khas karmila cab buah batu bandung terbilang cozzy nyaman lantai lantai dasar makan makanan cepat saji penuh hiruk pikuk pelanggan ayam bakar rekomendasikan sambal mangga terkait harga terbilang relative,positive,2,409
76,kuah bakso nya asin enakan dijual keliling malang nya bagus menjamu teman lokasi ramai bakso menyediakan capcay nasi goreng enak,positive,2,274
77,warga jakarta malu kang oknum bertanggung sweeping bobotoh,negative,0,102
78,tenderloin steak nya juara mudah diakses memaki tersembunyi nyaman tema zaman ramai pelayanan,positive,2,135
79,salah restoran cina masakan kepiting nya favorit juara pesan kepiting rebus babat toge cah kangkung,positive,2,170
80,cebong menuduh mencuri uang sedekah 30 silakan urus sih aris wahyudi ambil komisi 20 transaksi pelacuran berkedok agama berani membulat sih aris wahyudi berani jonru,negative,0,259
81,menarik pilihan kepala daerah jawa barat ridwan kamil berpasangan tokoh dc universe,positive,2,93
82,suasana kantor dewan pimpinan cabang kabupaten bogor menjelang pidato 2018,neutral,1,70
83,djarum kuat kerasa bagus nya pas bakaran,negative,0,87
84,bakmi tasik teman mampir coba bakmi bakso nya makanan nya spesial,negative,0,125
85,lokasi pandan wangi pusat kota bandung terjangkau 15 menit jalan asia afrika patokan jalan nya jalan talaga bodas tinggal mencari papan petunjuk pandan wangi jam 1 siang orang kebanyakan keluarga anak anak menunggu disajikan gorengan ubi singkong lumayan enak,positive,2,422
86,kalinya eatalia teman 1 orang anak memsungkan memlilih makanan anak menyediakan menu porsi anak memesan cheese bacon deluxe pizza roti berwarna hitam menu pesan mengecewakan,positive,2,321
87,lumayan sambal nya enak disajikan 3 model pilihan sih makan gurame kakap bawal kerang cumi udang deh pesan ikan kembung,positive,2,274
88,berlokasi salah belanja rekreasi cihampelas wali bandung resto mengecewakan sajian nya beragam resto menyajikan nya enak nikmat cocok bersantap pasangan keluarga,positive,2,276
89,dizaman mbak mbak online shop aplikasi gojek gocar gosend allah bodoh jualan hutan,negative,0,135
90,restoran terletak stategis jalan dago nya sebelah hotel holiday inn sesuai judul nya restoran menyediakan menu masakan aceh favorit mi aceh harga standar mahal lupa coba roti canai nya,positive,2,281
91,bihun goreng nya enak minyak makanan mengandung babi halal es teh tawar porsi nya memuaskan,positive,2,152
92,lokasi tes ditelepon diangkat email auto reply rekomendasi sadar something orang pas mampir kantor nya cerita held tes hotel ruang sebelah kondangan told remorse,negative,0,274
93,sate kambing gulai kambing nya maknyus penyajian makannan nya cepat nya bersih,positive,2,111
94,yue hotel mongkok hongkong juni booked bayar 2 kamar hotel ditemukan,negative,0,140
95,poach salmon nya enak pelayanan nya enak scenery nya mantap tank amanda worth banget deh,positive,2,125
96,orang cina makanan legendaris banget nih orang cina makanan enak enak parkir nya aujubila susah nya parkir seberang resto trotoar sabar sedih deh,negative,0,248
97,makan restoran pizza enak teman menikmati paket sensasi delight harga nya terjangkau kalangan,positive,2,147
98,hasil quick count pilihan gubernur kalimantan timur 2018 isran hadi unggul,neutral,1,58
99,jerat buni yani undang undang informasi transaksi elektronik video berasal youtube diunggah pemerintah provinsi nya kena undang undang informasi transaksi elektronik pemerintah provinsi buni yani,negative,0,216
100,paket gim mantap megah makan dijamin keren bravo,positive,2,93
101,gubernuran jembatan penyebrangan gang nya makanan zaman kuah lontong kari kental manis cocok acar meja porsi nya mengenyangkan,positive,2,256
102,jalan braga nya lumayan enak nongkrong live musik makanan nya lumayan,positive,2,122
103,pengguna setia produk kecewa banget pelayanan pusat servis asus jujur menyepelekan pendapat pelanggan,negative,0,140
104,makan pasta asing pizza ulang posisi pizza nyaman inside mal outside mal berhadapan langsung jalan merdeka memanjakan rutinitas orang orang sekeliling letak strategis angkutan,positive,2,329
105,makan nengusung konsep alam makan saung jalan saung disuguhi pemandangan indah suasana makan nyaman pelayanan cepat enggan pulang harga relatif standart mahal sekelas makanan standart suasana mantap,positive,2,344
106,cabai nya pelit masak nya cepat banget enak sayuran enak,positive,2,108
107,penasaran nya foto foto kunjungan artis pas pesan makanan unggulan pemikiran keras aneh terkenal nya,negative,0,301
108,kang jalan muararajeun sebulanan dibenarkan rusak serius,negative,0,119
109,kecewa tuhan,positive,2,57
110,masakan jepang suka menu masakan karubi pas lidah keluarga menyediakan bermain anak anak harga makan resto sih enak masakan nya,positive,2,270
111,nya sih istimewa nya nilai minus penilaian parkir luas dekorasi ruang makan bicara makanan urusan red dipo nilai plus makanan nya bervariasi,positive,2,391
112,makan kaki kambing paha empuk lumayam ukuran medium pas orang makan nasi es lemon tea segar kekurangan nya nya berasap wajar namanyanjg kambing bakar hehe,positive,2,228
113,bukti sunda gudang mode makanan enak nya bakmi parahiyangan pokok nya ketagihan,positive,2,139
114,barang kw bagus kualitas seringkali nih pas lihat eh barang nya bagus bahan nya,positive,2,142
115,kader demokrat ribut hnw partai keadilan sejahtera demiz dicalonkan jijik baca nya,negative,0,116
116,makan libur kemerdekaan 17 agustus 40 menit antre sistem pesan reservasi diizinkan menghemat salat pintu masuk permainan seni dimainkan berdekatan musola menganggu ibadah menakjubkan suasana alam menyatu,positive,2,422
117,menonton film bahasa jawa mengerti teks jelek film nya tindak tayang layar,negative,0,148
118,cha cha makanan ringan terenak menemani tugas,positive,2,70
119,sih monyet gue nama nya anonim pengecut pakai simbol nya orang hidup situ anjing nama berani malu mending takut,negative,0,195
120,bosan janji janji,negative,0,42
